,title,text,date,language,country,source,keyword
0,"Cleft Palate Practice, Pre-Surgery","On a computer screen hovers a three-dimensional image, the face of a boy with a cleft lip and palate.
Using a mouse, a visitor to New York University's Virtual Surgery Research Laboratory can navigate through the boy's mouth, as if it were a landscape in a video game, passing under and through brightly colored layers of tissue, muscle and cartilage. Patches of transparency highlight underlying ivory bone.
The images are part of a highly accurate animated simulation of cleft lip and palate surgery that will eventually allow surgeons, medical residents and students to practice reconstructive procedures in real time, in a 3-D environment. Users will be able to mark incisions in virtual skin, draw back flaps to reveal underlying tissue layers and then manipulate these layers from different perspectives to repair a virtual cleft.
Cleft lip and cleft palate are birth defects characterized by the failure of tissue of the lip or mouth to close properly during fetal development. If left untreated, clefts can cause problems with speech, eating or breathing, as well as social difficulties for children who have the condition.",2005-08-02 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
1,Cleft Lip Repair,"Slide 1 of 4,
A cleft lip is an abnormal opening in the middle of the upper lip. A cleft palate is an opening in the roof of the mouth (palate).",2011-08-03 19:26:45,en,usa,https://www.nytimes.com/,cleft lip
2,VITAL SIGNS: CONSEQUENCES; Linking Cleft Palates and Smoking Moms,"Smoking while pregnant has long been linked to general problems like premature deliveries and babies with low birth weights, but a new study reports that it may also be linked to two specific birth defects: cleft palate and cleft lip.
Even relatively few cigarettes -- 1 to 10 a day -- may increase the chances that an infant will need surgery to repair an improperly formed mouth or lip, the researchers say. The study was reported in a recent issue of Plastic and Reconstructive Surgery, the journal of the American Society of Plastic Surgeons.
Earlier studies had also suggested a link, the researchers said, but were too small to be definitive. In this case, using 1996 data from the National Center for Health Statistics, scientists compared 2,207 children born with cleft lips or palates with 4,414 children born with no congenital abnormalities.
They concluded that women who smoked up to half a pack -- 10 cigarettes -- a day had a 50 percent greater likelihood of giving birth to a child with the problem than did women who did not smoke. For women who smoked 11 to 20 cigarettes a day, the figure climbed to 55 percent, and for women who smoked more than 21 cigarettes, it was 78 percent.",2000-04-11 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
3,A Violent End to a Desperate Dream Leaves a Guatemalan Town Grieving,"The trek from Central America to U.S. soil has always been perilous, but a massacre with many victims from one corner of Guatemala has shaken that country.
They leave behind homes, families, everything they have known, taking their chances on a dangerous trek north toward an uncertain future, driven by poverty, lack of opportunity and the hope of something better.
For most migrants who leave Central America, like those from the municipality of Comitancillo, in the mountains of western Guatemala, the goal is to reach the United States, find work, save some money and send some back home, put down roots, maybe even find love and start a family. Usually, the biggest obstacle is crossing the increasingly fortified American border without being caught.
A group of 13 migrants who left Comitancillo in January didn’t even get the chance. Their bodies were found, along with those of six other victims, shot and burned; the corpses were piled in the back of a pickup truck that had been set on fire and abandoned in the Mexican state of Tamaulipas, just shy of the U.S. border. A dozen state police officers have been arrested in connection with the massacre.
The migrants’ remains made the return trip on Friday, March 12, each in a coffin draped with the Guatemalan flag, flown to a military airport in Guatemala City. A somber repatriation ceremony there, with an address by President Alejandro Giammattei, was shown live on national television. Relatives, friends and neighbors in Comitancillo watched the broadcast in their homes as they made final preparations for the arrival of the bodies and for the wakes and burials to follow.",2021-03-21 09:00:21,en,usa,https://www.nytimes.com/,cleft lip
4,"Janusz Bardach, 83, Gulag Survivor and Leading Plastic Surgeon","Dr. Janusz Bardach, a plastic surgeon who improved techniques for treating cleft lip and cleft palate and who wrote an acclaimed account of his life in Soviet labor camps in the early 1940's, died on Aug. 16 in Iowa City, his home. He was 83.
Dr. Bardach, a native of Ukraine who trained in Moscow after World War II, practiced plastic surgery in Poland and headed an early program in plastic surgery there. He came to the United States in 1972 and the next year became chairman of the division of plastic and reconstructive surgery at the University of Iowa Hospitals and Clinics in Iowa City. He also held other posts, administrative and teaching, at the university's Medical College before retiring in 1991.
Dr. Bardach developed what colleagues came to call the Bardach palatoplasty, a surgical procedure for patients with congenital clefts of the palate, a condition in which the palate is separated into halves.
The new procedure minimized scarring, entailed one operation instead of the two that had previously been required and improved the patient's speaking ability.",2002-08-31 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
5,Surgery on Fetuses Reveals They Heal Without Scars,"After experimenting with animals, Dr. Harrison and his colleagues began offering surgery in cases in which a human fetus was otherwise doomed. The doctors had tested such surgery on more than 1,000 sheep and 100 monkeys. They were confident that they could anesthetize a pregnant woman and her fetus, remove the fetus from the woman's uterus, operate on it, and put it back, and that the pregnancy would continue.
''Before we did that first procedure seven years ago, we had set some criteria for ourselves that are pretty important,'' Dr. Harrison said. ''It's obvious that the risk-benefit business is no problem for the fetus; he's going to die if we don't do the operation.''
''But in order to get to him, we have to put at risk an innocent bystander, the mom,'' Dr. Harrison said. ''We said we wouldn't offer fetal surgery to a family until we had proven in monkeys that you could do what you intended to do: have a good baby, have a healthy mother, have a mother who can have another child afterward, and do it with an acceptable risk.'' Urinary Tract Surgery
Dr. Harrison said fetal surgery has proved most successful for fetuses with obstructed urinary tracts. Doctors had tried to push a tube through the mother's abdomen and into the fetus to drain fetal urine, but the tubes often fell out or became clogged. Obstructed urinary tracts cause death by hindering development of lungs. Fetal urine is the main component of the amniotic fluid that bathes the fetus. Normally, the fetus ''breathes'' this fluid into its lungs. If the urinary tract is blocked, the fetus does not produce the fluid, and without it, the lungs do not develop.
Dr. Harrison has done six fetal urinary tract operations. He said it takes up to 30 minutes to operate on the fetus, and about two hours to operate on the mother. ''The moms have done fine and the kids have done fine if their problem has proven to be reversible,'' Dr. Harrison said.
Now Dr. Harrison and others are studying fetal wound-healing and the possibility of cranio-facial surgery before birth. Such surgery could correct a cleft lip, for example. One in 600 to 700 babies is born with a cleft lip. The condition can be detected before birth with ultrasound, Dr. Evans said. Babies with cleft lips usually undergo surgery after birth, but a scar remains, and the child's face does not develop properly because the scar impedes growth.
Other babies are born with inherited facial abnormalities. In Apert's syndrome, for instance, babies have high, full foreheads, flat faces and wide-spaced eyes that often tilt to the sides. These babies also often have a horizontal groove above their eyes.",1988-08-16 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
6,A Feel-Good Lip Balm Created in Her Dorm,"Name Zoe Mesnik-Greene
Age 23
Hometown Seattle
Now Lives Splits her time between an on-campus apartment at the University of Washington in Seattle and her cousin’s two-bedroom apartment in the Chelsea section of Manhattan.
Claim to Fame Ms. Mesnik-Greene is the founder of Lasting Smiles, an eco-friendly lip-balm company that raises funds for cleft-palate lip surgery for children in developing countries. She started the company in 2013, as a 19-year-old sophomore at Washington. “I was perusing the internet in my dorm room, and I saw a video about children born with cleft conditions,” she said. “I was so moved by the issue, I must have watched the video 10 times. I wanted to help, and that’s when it dawned on me: the connection between cleft lips and lip care.”
Big Break She developed her lip-balm formula in her dorm room with the help of YouTube tutorials, experimenting with fair-trade shea butter and coconut oil. “That’s the beauty of the internet: It levels the playing field,” she said. “I did set off the smoke alarm a few times, though.” She approached a buyer at Whole Foods at a farming event in Seattle, pitching her on the spot, and soon Whole Foods began carrying her line.
Latest Project Target started carrying Lasting Smiles in its 1,800 stores in March. “I connected with someone at Target on LinkedIn,” she said. “The next thing you know, I was flying across the country for a 30-minute meeting with their buyer.” Lasting Smiles donates 25 percent of its proceeds to cleft-palate surgeries in Peru, India and Burkina Faso, and has funded 200 operations to date.",2016-07-06 21:45:32,en,usa,https://www.nytimes.com/,cleft lip
7,Charges of Shoddy Practices Taint Gifts of Plastic Surgery,"The charity said it has never seen the report.
Other medical volunteers echo similar concerns. While all charities want to impress donors with large numbers of operations and find it heart-wrenching to turn away patients, Operation Smile seems more concerned than others about the final tally, according to a medical volunteer who has traveled with the group and with comparable charities.
''The issue of numbers does not seem to be as significant'' with the others, according to the volunteer.
Operation Smile takes every complication ''extraordinarily seriously,'' said Dr. Magee, and the charity has made changes as a result of the incident in Beijing. For instance, team leaders overseeing anesthesia will be doctors, not nurses, and will be required to use monitoring equipment.
But Dr. Magee, who personally selects the surgeons, denied in the recent interview that the volunteer physicians, many of whom are not from the United States, were not skilled. While the Chinese saw them for only a few days, he had known them for years, he said, and ''I have no doubt about their work.''
The trouble in Beijing, however, was hardly an isolated example. In Kenya, a child died last year because the mission ran out of oxygen during the operation -- a mistake that is fatal when additional supplies of oxygen are not necessarily available. A Vietnamese child also died last year when his asthma went undetected.
In March, after Operation Smile came to Bolivia, several children needed extensive follow-up care at San Gabriel Hospital, according to Dr. Roberto Rosa, a pediatric surgeon there who was sharply critical of Operation Smile and other charities. In one case, the technique used on a little girl was clearly inappropriate, he said.
''This is a form of neo-colonialism,'' argued Dr. Rosa, who said his hospital had performed about 2,000 of these surgeries. While his hospital would be eager to cooperate with surgeons from the United States, Operation Smile had committed ''surgical safaris against our children,'' who are from poor families who are unlikely to complain, he said.",1999-11-24 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
8,"An Unlikely Sex Symbol, Poised for a Breakthrough","He has only a few more lines in “Transit,” a time-jumbling modern-day adaptation of a novel about World War II, in which he plays a refugee trying to get exit papers to escape a coming invasion. In an email, Mr. Petzold, who also directed “Barbara” and “Phoenix,” described Mr. Rogowski as a “great actor” who is able to balance “sadness and confidence, coldness and empathy” like “a dancer.”
Anja Dihrberg, a veteran German casting director, helped cast Mr. Rogowski in Terrence Malick’s upcoming World War II film “Radegund.” She said by phone that Mr. Rogowski stood out in Germany for his physical performance, which she believed might be a lucky side effect of his speech impediment: The vast majority of German actors focus on being able to recite large amounts of text, she said, “but he is the exception.”
“You can lose yourself in Franz’s face and eyes,” Ms. Dihrberg added.
Mr. Rogowski said he was not allowed to reveal his role in “Radegund,” which tells the true story of Franz Jägerstätter, an Austrian conscientious objector, but Ms. Dihrberg described it as “a figure that is required to suffer.” She said that Mr. Malick was intent on overcoming scheduling conflicts to secure Mr. Rogowski’s participation. “We did everything we could to make it possible for him to play that role, because of Mr. Malick,” she said. “Terrence fought for him.”
Growing up in the university town of Tübingen, in southern Germany, Mr. Rogowski was bullied for his lisp and performed poorly in school, the result of what he said was an undiagnosed attention disorder. He also clashed with his mother, he said, because of an excessive pot-smoking habit. At 16, he left school and moved in with a friend.",2018-05-02 10:00:15,en,usa,https://www.nytimes.com/,cleft lip
9,Ultrasound and Fury: One Mother's Ordeal,"They also criticize the skills of those who did the scans in the study, complaining that too many birth defects were missed and thus many chances to make a difference in outcome were likewise missed. For example, if a fetus is found to have gastroschisis, in which the bowels protrude through a hole in the abdomen, the newborn has a much better chance of surviving and thriving if it is delivered in the same hospital where the corrective surgery will be performed, rather than having to being moved.
But Dr. Ewigman and others respond that such defects are too rare to justify automatic screening policies, and that the happy stories are more than countered by drawbacks. False positives like mine are said to be very rare, yet without trying I learned of three other women whose fetuses were incorrectly diagnosed as having clubfeet. And while these mistakes were joyfully resolved, false positives can have devastating outcomes. Dr. Horger cited the case of a woman who received an ultrasound diagnosis that her fetus had no kidneys, a fatal condition. She aborted the fetus at 18 weeks, and an autopsy revealed apparently normal kidneys.
More often women receive murky results that are difficult to interpret, but that offer just enough substance to nourish anxiety. During several scans performed in her third pregnancy, a neighbor of mine was told that her baby might have a serious kidney defect. There was nothing to do but wait and worry. Months later, she gave birth to a healthy daughter. Another acquaintance, who is still pregnant, was told after a sonogram that her fetus's eyes were unusually close together. She asked her doctors what it meant and what she should do about it. They did not know, and they suggested more scans. She refused. ''So maybe the baby will look like Lyle Lovett,'' she said, maintaining her humor but clearly worried.
Dr. Sheryl Burt Ruzek, a professor of health education at Temple University, said the rampant use of ultrasound ''has created false expectations that by having repeated screenings we can improve the likelihood of a good outcome of pregnancy.'' It gives the illusion of perfectability, but like most medical assays, ultrasound is imperfect. It can find problems where none exist, and, more often, it misses defects that exist. More than half of all defects have been shown to go unnoticed by ultrasound. ''The search for the perfect child is making women very anxious about reproducing,'' Dr. Ruzek said. An unfortunate byproduct of expecting perfection is the urge to sue upon arrival of an imperfect baby. Dr. Horger said one of the commonest causes of obstetrical lawsuits is the failure of a doctor to pick up a birth defect on ultrasound. Although the Radius study indicates that early detection of most abnormalities does not do much good anyway, doctors end up screening just to cover their afts.
A particular problem with ultrasound is that while women know that amniocentesis and most prenatal tests are designed to look for defects, they approach their sonogram with optimism. ''They're persuaded they'll be reassured, and will get their first picture of the baby,'' said Dr. Gail Geller, a bioethicist at Johns Hopkins University. ''But the physician's training is to find something that might be wrong. There's a cognitive dissonance between practitioners and patients.'' Indeed, she said, ''physicians can sound almost excited when they find something.'' That happened to us, with the doctor who murmured appreciatively, ''Good catch.''
In the end, many researchers said that women should be entitled to have ultrasound and other prenatal tests, but that the process of informed consent must be taken far more seriously than it currently is. Women should be told in detail of the limitations of screening, and of the fact that clinical studies show no benefit to scanning during a normal pregnancy, Dr. Geller said. Nor is it clear that doctors should bother ferreting out every minor aberration -- every cleft lip, every excess finger.
We still do not know why our daughter's foot appeared clubbed on three sonograms when it was not. The ultrasound specialists who gave us the final, definitive diagnosis said they stood by their original call and suggested the foot may have corrected itself during the later stages of pregnancy.
I am skeptical. I think this is a case of ambiguity prematurely corseted into certainty, and of insufficient data on all the possible variations of a normal fetal foot (not to mention any other body part) at 20 weeks gestation. I think my child has inherited her mother's unusually supple feet, which can point and twist in many directions and even mimic a clublike contortion. Perhaps my daughter was dreaming that she was a ballerina, flexing her foot into en pointe position, and preparing to dance the dance.",1996-11-26 05:00:00,en,usa,https://www.nytimes.com/,cleft lip
